scraped_at,spieltag,player,match_index,home,away,group,result,pick,points
2026-06-18T12:52:58+00:00,3,self,3,Austria,Jordan,Group J,3-1,2-0,3
2026-06-18T12:52:58+00:00,3,p10,3,Austria,Jordan,Group J,3-1,3-1,4
2026-06-18T12:52:58+00:00,3,p09,3,Austria,Jordan,Group J,3-1,1-1,0
2026-06-18T12:52:58+00:00,3,p06,3,Austria,Jordan,Group J,3-1,2-0,3
2026-06-18T12:52:58+00:00,3,p07,4,Portugal,DR Congo,Group K,1-1,2-0,0
2026-06-18T12:52:58+00:00,3,p02,4,Portugal,DR Congo,Group K,1-1,2-1,0
2026-06-18T12:52:58+00:00,3,p08,4,Portugal,DR Congo,Group K,1-1,3-1,0
2026-06-18T12:52:58+00:00,3,p05,4,Portugal,DR Congo,Group K,1-1,4-1,0
2026-06-18T12:52:58+00:00,3,p01,4,Portugal,DR Congo,Group K,1-1,1-0,0
2026-06-18T12:52:58+00:00,3,p03,4,Portugal,DR Congo,Group K,1-1,3-1,0
2026-06-18T12:52:58+00:00,3,p11,4,Portugal,DR Congo,Group K,1-1,4-0,0
2026-06-18T12:52:58+00:00,3,self,4,Portugal,DR Congo,Group K,1-1,2-0,0
2026-06-18T12:52:58+00:00,3,p10,4,Portugal,DR Congo,Group K,1-1,3-1,0
2026-06-18T12:52:58+00:00,3,p09,4,Portugal,DR Congo,Group K,1-1,0-1,0
2026-06-18T12:52:58+00:00,3,p06,4,Portugal,DR Congo,Group K,1-1,2-1,0
2026-06-18T12:52:58+00:00,3,p04,4,Portugal,DR Congo,Group K,1-1,3-1,0
2026-06-18T12:52:58+00:00,3,p07,5,England,Croatia,Group L,4-2,2-0,3
2026-06-18T12:52:58+00:00,3,p02,5,England,Croatia,Group L,4-2,3-2,2
2026-06-18T12:52:58+00:00,3,p08,5,England,Croatia,Group L,4-2,2-1,2
2026-06-18T12:52:58+00:00,3,p05,5,England,Croatia,Group L,4-2,2-1,2
2026-06-18T12:52:58+00:00,3,p01,5,England,Croatia,Group L,4-2,1-1,0
2026-06-18T12:52:58+00:00,3,p03,5,England,Croatia,Group L,4-2,2-1,2
